date,open,high,low,close,volume,日期,开盘,收盘,最高,最低,成交量
20250506,3794.376,3809.094,3782.777,3808.542,15852045900,20250506,3794.376,3808.542,3809.094,3782.777,15852045900
20250507,3861.577,3863.678,3814.987,3831.627,16117229900,20250507,3861.577,3831.627,3863.678,3814.987,16117229900
20250508,3820.548,3867.331,3816.264,3852.896,12495983300,20250508,3820.548,3852.896,3867.331,3816.264,12495983300
20250509,3848.619,3853.663,3836.535,3846.157,11938952600,20250509,3848.619,3846.157,3853.663,3836.535,11938952600
20250512,3866.531,3890.734,3859.035,3890.61,15333246000,20250512,3866.531,3890.61,3890.734,3859.035,15333246000
20250513,3915.592,3915.592,3890.686,3896.258,14732029900,20250513,3915.592,3896.258,3915.592,3890.686,14732029900
20250514,3894.839,3960.523,3890.65,3943.211,17203377900,20250514,3894.839,3943.211,3960.523,3890.65,17203377900
20250515,3934.027,3936.465,3904.907,3907.199,13808174900,20250515,3934.027,3907.199,3936.465,3904.907,13808174900
20250516,3898.666,3903.853,3874.862,3889.085,11840534500,20250516,3898.666,3889.085,3903.853,3874.862,11840534500
20250519,3882.568,3885.589,3866.57,3877.145,9864341400,20250519,3882.568,3877.145,3885.589,3866.57,9864341400
20250520,3883.102,3911.474,3881.744,3898.171,10488523400,20250520,3883.102,3898.171,3911.474,3881.744,10488523400
20250521,3899.437,3928.634,3899.437,3916.381,10979134300,20250521,3899.437,3916.381,3928.634,3899.437,10979134300
20250522,3912.601,3923.02,3903.09,3913.865,10759705200,20250522,3912.601,3913.865,3923.02,3903.09,10759705200
20250523,3910.374,3931.551,3882.274,3882.274,12027741900,20250523,3910.374,3882.274,3931.551,3882.274,12027741900
20250526,3875.789,3884.537,3849.038,3860.107,10960120700,20250526,3875.789,3860.107,3884.537,3849.038,10960120700
20250527,3857.627,3865.429,3834.846,3839.397,9857242500,20250527,3857.627,3839.397,3865.429,3834.846,9857242500
20250528,3843.075,3849.736,3833.958,3836.237,8903102600,20250528,3843.075,3836.237,3849.736,3833.958,8903102600
20250529,3838.009,3869.791,3831.458,3858.7,10847188600,20250529,3838.009,3858.7,3869.791,3831.458,10847188600
20250530,3850.493,3858.613,3829.254,3840.232,11167222800,20250530,3850.493,3840.232,3858.613,3829.254,11167222800
20250603,3833.458,3863.295,3832.72,3852.013,13140309000,20250603,3833.458,3852.013,3863.295,3832.72,13140309000
20250604,3855.488,3875.857,3855.488,3868.743,11680387300,20250604,3855.488,3868.743,3875.857,3855.488,11680387300
20250605,3872.637,3883.135,3861.272,3877.556,12287818400,20250605,3872.637,3877.556,3883.135,3861.272,12287818400
20250606,3878.103,3889.456,3869.387,3873.984,11098797100,20250606,3878.103,3873.984,3889.456,3869.387,11098797100
20250609,3877.798,3894.652,3871.992,3885.246,13630629300,20250609,3877.798,3885.246,3894.652,3871.992,13630629300
20250610,3887.551,3897.457,3850.466,3865.465,14556385900,20250610,3887.551,3865.465,3897.457,3850.466,14556385900
20250611,3870.672,3911.611,3870.672,3894.625,14241477200,20250611,3870.672,3894.625,3911.611,3870.672,14241477200
20250612,3885.52,3900.041,3870.384,3892.199,13399869700,20250612,3885.52,3892.199,3900.041,3870.384,13399869700
20250613,3881.492,3889.16,3853.819,3864.182,17253953600,20250613,3881.492,3864.182,3889.16,3853.819,17253953600
20250616,3853.619,3876.17,3853.619,3873.795,13734183500,20250616,3853.619,3873.795,3876.17,3853.619,13734183500
20250617,3875.177,3880.416,3860.409,3870.379,12234252600,20250617,3875.177,3870.379,3880.416,3860.409,12234252600
20250618,3871.65,3881.346,3854.658,3874.971,12752862100,20250618,3871.65,3874.971,3881.346,3854.658,12752862100
20250619,3870.049,3872.943,3834.951,3843.091,13028065800,20250619,3870.049,3843.091,3872.943,3834.951,13028065800
20250620,3839.783,3856.48,3839.783,3846.644,11815102000,20250620,3839.783,3846.644,3856.48,3839.783,11815102000
20250623,3831.17,3867.59,3827.083,3857.902,13380089200,20250623,3831.17,3857.902,3867.59,3827.083,13380089200
20250624,3862.388,3914.158,3862.388,3904.034,16365618800,20250624,3862.388,3904.034,3914.158,3862.388,16365618800
20250625,3907.068,3963.037,3902.177,3960.066,18721367100,20250625,3907.068,3960.066,3963.037,3902.177,18721367100
20250626,3953.16,3964.482,3945.259,3946.02,16531626300,20250626,3953.16,3946.02,3964.482,3945.259,16531626300
20250627,3949.788,3969.263,3918.204,3921.758,19455791300,20250627,3949.788,3921.758,3969.263,3918.204,19455791300
20250630,3920.315,3940.361,3911.604,3936.079,14517023600,20250630,3920.315,3936.079,3940.361,3911.604,14517023600
20250701,3935.908,3946.245,3924.722,3942.762,12895936200,20250701,3935.908,3942.762,3946.245,3924.722,12895936200
20250702,3943.323,3952.138,3929.696,3943.685,14706306200,20250702,3943.323,3943.685,3952.138,3929.696,14706306200
20250703,3949.4,3971.616,3945.138,3968.068,14100400600,20250703,3949.4,3968.068,3971.616,3945.138,14100400600
20250704,3967.464,4013.848,3958.376,3982.203,15719713300,20250704,3967.464,3982.203,4013.848,3958.376,15719713300
20250707,3977.288,3979.748,3956.566,3965.175,13113527300,20250707,3977.288,3965.175,3979.748,3956.566,13113527300
20250708,3965.426,4002.269,3965.426,3998.453,15640289500,20250708,3965.426,3998.453,4002.269,3965.426,15640289500
20250709,3997.504,4016.743,3987.427,3991.401,17329379600,20250709,3997.504,3991.401,4016.743,3987.427,17329379600
20250710,3993.42,4032.983,3992.524,4010.024,20977890400,20250710,3993.42,4010.024,4032.983,3992.524,20977890400
20250711,4011.465,4065.942,4010.105,4014.807,26205277300,20250711,4011.465,4014.807,4065.942,4010.105,26205277300
20250714,4021.214,4034.92,4017.668,4017.668,20791717500,20250714,4021.214,4017.668,4034.92,4017.668,20791717500
20250715,4023.99,4042.657,3994.263,4019.064,19104293100,20250715,4023.99,4019.064,4042.657,3994.263,19104293100
20250716,4019.393,4027.857,3993.921,4007.202,15102730800,20250716,4019.393,4007.202,4027.857,3993.921,15102730800
20250717,4005.067,4034.594,4005.067,4034.491,16124904100,20250717,4005.067,4034.491,4034.594,4005.067,16124904100
20250718,4039.871,4064.638,4039.318,4058.549,18621106300,20250718,4039.871,4058.549,4064.638,4039.318,18621106300
20250721,4069.769,4086.117,4063.443,4085.607,22326847600,20250721,4069.769,4085.607,4086.117,4063.443,22326847600
20250722,4087.335,4119.202,4068.338,4118.958,25759698500,20250722,4087.335,4118.958,4119.202,4068.338,25759698500
20250723,4129.148,4155.678,4113.909,4119.769,30050615400,20250723,4129.148,4119.769,4155.678,4113.909,30050615400
20250724,4116.831,4152.427,4111.885,4149.037,31963239200,20250724,4116.831,4149.037,4152.427,4111.885,31963239200
20250725,4145.32,4150.499,4117.801,4127.163,27359496300,20250725,4145.32,4127.163,4150.499,4117.801,27359496300
20250728,4128.199,4146.12,4112.968,4135.824,22275981500,20250728,4128.199,4135.824,4146.12,4112.968,22275981500
20250729,4132.683,4153.331,4117.577,4152.025,23080788000,20250729,4132.683,4152.025,4153.331,4117.577,23080788000
20250730,4148.941,4185.206,4127.43,4151.238,24985304800,20250730,4148.941,4151.238,4185.206,4127.43,24985304800
20250731,4141.561,4141.824,4063.666,4075.591,26708740600,20250731,4141.561,4075.591,4141.824,4063.666,26708740600
20250801,4069.925,4085.354,4040.462,4054.929,19622182600,20250801,4069.925,4054.929,4085.354,4040.462,19622182600
20250804,4037.938,4070.702,4037.938,4070.702,16227590200,20250804,4037.938,4070.702,4070.702,4037.938,16227590200
20250805,4080.388,4106.297,4075.584,4103.45,17885199900,20250805,4080.388,4103.45,4106.297,4075.584,17885199900
20250806,4100.428,4116.709,4098.354,4113.485,17667615500,20250806,4100.428,4113.485,4116.709,4098.354,17667615500
20250807,4120.282,4129.738,4094.821,4114.666,19864190200,20250807,4120.282,4114.666,4129.738,4094.821,19864190200
20250808,4109.273,4122.21,4097.416,4104.967,17317120100,20250808,4109.273,4104.967,4122.21,4097.416,17317120100
20250811,4110.294,4134.246,4103.605,4122.511,19044371600,20250811,4110.294,4122.511,4134.246,4103.605,19044371600
20250812,4123.576,4153.295,4121.224,4143.825,17728782300,20250812,4123.576,4143.825,4153.295,4121.224,17728782300
20250813,4150.504,4186.748,4147.199,4176.578,21393499900,20250813,4150.504,4176.578,4186.748,4147.199,21393499900
20250814,4179.965,4220.311,4165.938,4173.313,22110359500,20250814,4179.965,4173.313,4220.311,4165.938,22110359500
20250815,4162.421,4214.729,4157.495,4202.353,26132756600,20250815,4162.421,4202.353,4214.729,4157.495,26132756600
