序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,date,symbol,name,board_count,change_pct,circ_mv,turnover,amount,first_seal_time,open_times
1,000062,深圳华强,9.98869,29.18,1105670016.0,30491000832,30519599104,3.63579,273568000.0,093127,093127,0,1/1,1,电子元件,20250818,000062,深圳华强,1,9.98869,30491000832,3.63579,1105670016.0,093127,0
2,000561,烽火电子,10.0,15.84,2078349952.0,9532350464,13685999616,22.6477,93041800.0,094048,132000,1,4/5,1,通信设备,20250818,000561,烽火电子,1,10.0,9532350464,22.6477,2078349952.0,094048,1
3,000628,高新发展,9.99613,56.89,925214016.0,10927599616,20041199616,8.61981,129758000.0,095639,095639,0,1/1,1,工程建设,20250818,000628,高新发展,1,9.99613,10927599616,8.61981,925214016.0,095639,0
4,000782,恒申新材,9.93915,5.42,236534000.0,2862520064,3721270016,8.45326,30037600.0,101836,101836,0,1/1,1,化纤行业,20250818,000782,恒申新材,1,9.93915,2862520064,8.45326,236534000.0,101836,0
5,000796,凯撒旅业,10.0,5.28,575432000.0,7026449920,8468009984,8.3509,133138000.0,094451,094451,0,1/1,1,旅游酒店,20250818,000796,凯撒旅业,1,10.0,7026449920,8.3509,575432000.0,094451,0
6,000887,中鼎股份,10.0153,21.53,1906380032.0,28298399744,28344000512,6.90155,117111000.0,102612,102612,0,1/1,1,汽车零部,20250818,000887,中鼎股份,1,10.0153,28298399744,6.90155,1906380032.0,102612,0
7,000892,欢瑞世纪,9.91736,5.32,437884000.0,3781649920,5218820096,11.8014,116277000.0,093615,093615,0,1/1,1,文化传媒,20250818,000892,欢瑞世纪,1,9.91736,3781649920,11.8014,437884000.0,093615,0
8,001202,炬申股份,10.007,15.72,77140800.0,1836470016,2620379904,4.32716,37083100.0,104827,104827,0,1/1,1,物流行业,20250818,001202,炬申股份,1,10.007,1836470016,4.32716,77140800.0,104827,0
9,001298,好上好,10.0032,34.42,1052620032.0,5303600128,10217100288,20.3672,116518000.0,094745,094745,0,1/1,1,电子元件,20250818,001298,好上好,1,10.0032,5303600128,20.3672,1052620032.0,094745,0
10,001339,智微智能,9.99264,59.77,1337949952.0,7110969856,15051799552,19.4082,25622400.0,133915,144230,2,1/1,1,计算机设,20250818,001339,智微智能,1,9.99264,7110969856,19.4082,1337949952.0,133915,2
11,001400,江顺科技,9.99853,74.7,178724992.0,1120499968,4481999872,16.1254,86509104.0,100130,100130,0,2/4,1,通用设备,20250818,001400,江顺科技,1,9.99853,1120499968,16.1254,178724992.0,100130,0
12,002017,东信和平,10.0,34.87,4418959872.0,20227600384,20239699968,23.0362,92325200.0,134051,143524,4,1/1,1,通信设备,20250818,002017,东信和平,1,10.0,20227600384,23.0362,4418959872.0,134051,4
13,002046,国机精工,9.99343,33.46,2179640064.0,17642899456,17943500800,12.7446,56851900.0,101430,104509,2,6/11,1,通用设备,20250818,002046,国机精工,1,9.99343,17642899456,12.7446,2179640064.0,101430,2
14,002052,同洲电子,10.0133,16.59,174942000.0,11436900352,12483000320,1.52962,242983008.0,092500,092500,0,5/6,2,家电行业,20250818,002052,同洲电子,2,10.0133,11436900352,1.52962,174942000.0,092500,0
15,002053,云南能投,9.98134,11.79,501104000.0,10855100416,10855400448,4.73976,17576500.0,140409,142057,4,1/1,1,综合行业,20250818,002053,云南能投,1,9.98134,10855100416,4.73976,501104000.0,140409,4
16,002082,万邦德,10.0137,8.02,152824000.0,4437109760,4905750016,3.48652,98933904.0,093242,093242,0,1/1,1,化学制药,20250818,002082,万邦德,1,10.0137,4437109760,3.48652,152824000.0,093242,0
17,002126,银轮股份,9.99414,37.53,2479419904.0,29430800384,31329900544,8.46132,48488600.0,093000,102315,5,1/1,1,汽车零部,20250818,002126,银轮股份,1,9.99414,29430800384,8.46132,2479419904.0,093000,5
18,002131,利欧股份,9.90099,4.44,4857440256.0,25972799488,30066700288,19.153,287425984.0,100436,102624,1,1/1,1,互联网服,20250818,002131,利欧股份,1,9.90099,25972799488,19.153,4857440256.0,100436,1
19,002158,汉钟精机,9.99493,21.68,1385440000.0,11568499712,11592800256,12.2763,27566100.0,102530,143424,4,2/2,2,通用设备,20250818,002158,汉钟精机,2,9.99493,11568499712,12.2763,1385440000.0,102530,4
20,002164,宁波东力,9.99039,11.45,440828000.0,5493429760,6093389824,8.15228,119547000.0,093545,093545,0,1/1,1,通用设备,20250818,002164,宁波东力,1,9.99039,5493429760,8.15228,440828000.0,093545,0
21,002182,宝武镁业,9.98487,14.54,796876032.0,12584599552,14420599808,6.48739,105544000.0,100112,100112,0,1/1,1,有色金属,20250818,002182,宝武镁业,1,9.98487,12584599552,6.48739,796876032.0,100112,0
22,002272,川润股份,10.0067,16.38,145396000.0,6334199808,7942289920,2.29542,250939008.0,092500,092500,0,2/2,2,工程机械,20250818,002272,川润股份,2,10.0067,6334199808,2.29542,145396000.0,092500,0
23,002323,雅博股份,10.303,1.82,175278000.0,3859099904,3859960064,4.62748,105579000.0,094015,094015,0,1/1,1,装修建材,20250818,002323,雅博股份,1,10.303,3859099904,4.62748,175278000.0,094015,0
24,002326,永太科技,10.0,15.4,610184000.0,12450899968,14251200512,4.95441,147824992.0,093754,093754,0,1/1,1,化学制品,20250818,002326,永太科技,1,10.0,12450899968,4.95441,610184000.0,093754,0
25,002334,英威腾,9.97899,10.47,1055750016.0,7546129920,8517669888,14.3462,65521000.0,130821,130821,0,1/1,1,专用设备,20250818,002334,英威腾,1,9.97899,7546129920,14.3462,1055750016.0,130821,0
26,002343,慈文传媒,9.98736,8.7,574958016.0,4132059904,4132059904,14.0022,50558000.0,093112,093457,3,1/1,1,文化传媒,20250818,002343,慈文传媒,1,9.98736,4132059904,14.0022,574958016.0,093112,3
27,002364,中恒电气,9.98062,22.7,547532992.0,12668999680,12792899584,4.34446,129803000.0,093203,093203,0,3/6,2,电源设备,20250818,002364,中恒电气,2,9.98062,12668999680,4.34446,547532992.0,093203,0
28,002536,飞龙股份,9.99325,32.58,3196920064.0,17737099264,18726500352,18.3877,115844000.0,094957,140209,6,5/9,4,汽车零部,20250818,002536,飞龙股份,4,9.99325,17737099264,18.3877,3196920064.0,094957,6
29,002600,领益智造,9.98024,11.13,4670389760.0,76793503744,78001102848,6.21446,165504992.0,110257,144033,1,1/1,1,消费电子,20250818,002600,领益智造,1,9.98024,76793503744,6.21446,4670389760.0,110257,1
30,002645,华宏科技,9.9866,16.41,1387990016.0,8417480192,9544399872,17.1211,116038000.0,102457,102457,0,2/2,2,环保行业,20250818,002645,华宏科技,2,9.9866,8417480192,17.1211,1387990016.0,102457,0
31,002657,中科金财,9.99434,38.85,3483559936.0,13067400192,13210999808,28.235,72591000.0,112245,141806,7,2/3,1,互联网服,20250818,002657,中科金财,1,9.99434,13067400192,28.235,3483559936.0,112245,7
32,002674,兴业科技,10.0,13.2,339088000.0,3861839872,3901270016,9.03202,67504800.0,105051,105051,0,1/1,1,纺织服装,20250818,002674,兴业科技,1,10.0,3861839872,9.03202,339088000.0,105051,0
33,002708,光洋股份,9.97352,12.46,367463008.0,6404380160,7003740160,5.85111,99181600.0,094630,094630,0,1/1,1,汽车零部,20250818,002708,光洋股份,1,9.97352,6404380160,5.85111,367463008.0,094630,0
34,002733,雄韬股份,9.9903,22.68,844742976.0,8365810176,8713990144,10.1919,54638400.0,093951,100224,5,1/1,1,电池,20250818,002733,雄韬股份,1,9.9903,8365810176,10.1919,844742976.0,093951,5
35,002823,凯中精密,10.0189,17.46,373063008.0,3818459904,5733320192,10.1641,52905200.0,130033,130033,0,1/1,1,电机,20250818,002823,凯中精密,1,10.0189,3818459904,10.1641,373063008.0,130033,0
36,002837,英维克,9.99687,70.2,7536690176.0,59130699776,68001198080,13.2579,138552000.0,131306,145424,8,1/1,1,专用设备,20250818,002837,英维克,1,9.99687,59130699776,13.2579,7536690176.0,131306,8
37,002871,伟隆股份,9.97151,15.44,566108992.0,2366850048,3888620032,25.1505,13827500.0,112803,130000,1,2/3,1,通用设备,20250818,002871,伟隆股份,1,9.97151,2366850048,25.1505,566108992.0,112803,1
38,002873,新天药业,10.0398,13.81,690316032.0,3296019968,3371069952,21.7328,40506400.0,100257,101648,2,2/2,2,中药,20250818,002873,新天药业,2,10.0398,3296019968,21.7328,690316032.0,100257,2
39,002879,长缆科技,9.99479,21.13,921532032.0,2913489920,4080359936,33.3802,6407880.0,131245,145412,15,3/4,2,电网设备,20250818,002879,长缆科技,2,9.99479,2913489920,33.3802,921532032.0,131245,15
40,002939,长城证券,10.0332,13.27,3265100032.0,46280798208,53536800768,7.1792,232902000.0,093051,094754,1,4/4,4,证券,20250818,002939,长城证券,4,10.0332,46280798208,7.1792,3265100032.0,093051,1
41,002981,朝阳科技,9.99008,33.25,435574016.0,3970929920,4497169920,11.5914,64795800.0,144251,144251,0,1/1,1,消费电子,20250818,002981,朝阳科技,1,9.99008,3970929920,11.5914,435574016.0,144251,0
42,003009,中天火箭,10.0062,53.65,539129984.0,8336840192,8336880128,6.80774,135375008.0,133527,133527,0,1/1,1,航天航空,20250818,003009,中天火箭,1,10.0062,8336840192,6.80774,539129984.0,133527,0
43,300049,福瑞股份,19.996,60.19,1232099968.0,14054400000,15948900352,8.88333,88202400.0,093330,094345,3,1/1,1,医疗器械,20250818,300049,福瑞股份,1,19.996,14054400000,8.88333,1232099968.0,093330,3
