序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,symbol,name,board_count,change_pct,circ_mv,turnover,amount,first_seal_time,open_times,date
1,002980,华盛昌,10.00941276550293,35.06,1497550880,3554731436.6400003,6640404669.6,42.7731819152832,7913743,092500,145154,11,3/3,3,电网设备,002980,华盛昌,3,10.00941276550293,3554731436.6400003,42.7731819152832,1497550880,092500,11,20260303
2,601975,招商南油,9.955751419067383,4.97,1696385760,23261313049.66,23261312542.719997,7.3048095703125,558431486,092500,094037,2,6/3,2,航运港口,601975,招商南油,2,9.955751419067383,23261313049.66,7.3048095703125,1696385760,092500,2,20260303
3,002207,准油股份,9.98389720916748,13.66,48480706,3562690554.0,3579676463.48,1.360789179801941,233120194,092500,092500,0,6/3,2,油服工程,002207,准油股份,2,9.98389720916748,3562690554.0,1.360789179801941,48480706,092500,0,20260303
4,002490,山东墨龙,10.020661354064941,10.65,44869515,5769339300.0,8497085460.0,0.7777236104011536,421451385,092500,092500,0,6/3,2,专用设备,002490,山东墨龙,2,10.020661354064941,5769339300.0,0.7777236104011536,44869515,092500,0,20260303
5,000554,泰山石油,10.040567398071289,10.85,239850994,3934787187.45,5216607435.2,6.098735332489014,173262565,092500,093115,1,6/3,2,炼化及贸,000554,泰山石油,2,10.040567398071289,3934787187.45,6.098735332489014,239850994,092500,1,20260303
6,000407,胜利股份,9.94371509552002,5.86,166983108,5132083762.320001,5157296084.16,3.2537097930908203,208052789,092500,092500,0,1/1,1,燃气Ⅱ,000407,胜利股份,1,9.94371509552002,5132083762.320001,3.2537097930908203,166983108,092500,0,20260303
7,600759,洲际油气,9.956075668334961,7.51,229070643,31119080207.8,31159059692.8,0.7361099123954773,1835516223,092501,092501,0,6/4,2,油气开采,600759,洲际油气,2,9.956075668334961,31119080207.8,0.7361099123954773,229070643,092501,0,20260303
8,600871,石化油服,9.915014266967773,3.88,177850773,52562407921.88,73553337548.8,0.3383611738681793,470246579,092502,092502,0,6/3,2,油服工程,600871,石化油服,2,9.915014266967773,52562407921.88,0.3383611738681793,177850773,092502,0,20260303
9,600722,金牛化工,9.980620384216309,11.35,114871307,7721628322.599999,7721628368.0,1.4876564741134644,199852888,092502,092502,0,12/6,2,化学原料,600722,金牛化工,2,9.980620384216309,7721628322.599999,1.4876564741134644,114871307,092502,0,20260303
10,600714,金瑞矿业,10.020242691040039,21.74,579395968,6264952175.0199995,6264952153.28,9.248826026916504,9987356,092502,093341,2,6/3,2,化学原料,600714,金瑞矿业,2,10.020242691040039,6264952175.0199995,9.248826026916504,579395968,092502,2,20260303
11,603318,水发燃气,9.977324485778809,9.7,135289227,4452987962.799999,4452988001.599999,3.0381674766540527,237361492,092503,092503,0,3/3,3,燃气Ⅱ,603318,水发燃气,3,9.977324485778809,4452987962.799999,3.0381674766540527,135289227,092503,0,20260303
12,000968,蓝焰控股,10.042283058166504,10.41,924523296,10071702690.6,10071702648.960001,9.217134475708008,80388716,093000,095012,9,6/3,2,油气开采,000968,蓝焰控股,2,10.042283058166504,10071702690.6,9.217134475708008,924523296,093000,9,20260303
13,002957,科瑞技术,10.003473281860352,31.67,1635338000,13259559559.54,13300844634.880001,12.532862663269043,63260698,093000,140554,3,1/1,1,自动化设,002957,科瑞技术,1,10.003473281860352,13259559559.54,12.532862663269043,1635338000,093000,3,20260303
14,603619,中曼石油,10.002500534057617,43.99,670895520,20338268899.39,20338269031.36,3.2994937896728516,259158594,093019,093246,2,6/3,2,油服工程,603619,中曼石油,2,10.002500534057617,20338268899.39,3.2994937896728516,670895520,093019,2,20260303
15,002828,贝肯能源,10.01344108581543,16.37,400197824,3168609530.75,3290167012.0,12.727256774902344,60275977,093027,093312,3,6/3,2,油服工程,002828,贝肯能源,2,10.01344108581543,3168609530.75,12.727256774902344,400197824,093027,3,20260303
