circ_mv,turnover,amount,first_seal_minutes,is_early_seal,open_times,date,symbol,is_limit_up,label
1812560000,6.07682,106777000.0,585,1,0,20250709,000010,1,1
1994370048,14.0581,277808000.0,570,1,1,20250710,000010,1,1
2192709888,4.90671,107590000.0,565,1,0,20250711,000010,1,0
2560440064,9.64389,237152000.0,592,1,0,20250721,000010,1,0
3008630016,6.79529,199714000.0,596,1,0,20250707,000014,1,0
18305800192,2.45244,431233984.0,817,0,7,20250710,000029,1,0
27284500480,6.83036,1798019968.0,856,0,0,20250801,000032,1,0
3253519872,6.59158,211114000.0,574,1,0,20250704,000037,1,1
3578870016,28.5341,1009390016.0,570,1,2,20250707,000037,1,0
3446899968,5.72883,196130000.0,571,1,0,20250728,000153,1,0
38520098816,15.7374,5915089920.0,615,0,1,20250717,000158,1,0
24109000704,12.8965,3051539968.0,796,0,12,20250721,000400,1,0
13814599680,3.26472,435476000.0,854,0,0,20250721,000401,1,0
5224059904,17.2657,876771008.0,826,0,3,20250715,000409,1,0
4668870144,8.25269,371868992.0,646,0,0,20250724,000505,1,0
24816599040,6.71997,1616870016.0,843,0,0,20250716,000513,1,0
4345419776,4.43406,188644992.0,574,1,0,20250707,000514,1,1
4784180224,11.2865,531696992.0,581,1,1,20250708,000514,1,1
5265129984,20.9098,1027769984.0,812,0,3,20250709,000514,1,1
5788270080,9.2462,526592992.0,571,1,2,20250710,000514,1,0
5914829824,21.9852,1164829952.0,884,0,0,20250715,000514,1,0
24141299712,8.83323,2009970048.0,866,0,0,20250722,000528,1,0
7836290048,5.8074,440800992.0,793,0,1,20250801,000534,1,0
3005479936,1.7382,52241100.0,565,1,0,20250715,000545,1,0
3838850048,6.64867,253244992.0,572,1,0,20250718,000546,1,0
7358389760,16.1676,1167229952.0,575,1,5,20250728,000558,1,0
8492429824,21.6429,1752860032.0,813,0,2,20250730,000558,1,0
9497610240,25.3798,2301159936.0,888,0,0,20250801,000558,1,0
8371230208,16.1537,1312509952.0,670,0,0,20250724,000566,1,0
14273500160,4.00185,554582016.0,594,1,0,20250724,000567,1,0
8079889920,6.84116,533502016.0,609,0,0,20250724,000572,1,0
189716000,6.06139,11332400.0,648,0,3,20250703,000584,1,0
220070000,7.0936,15207400.0,668,0,7,20250710,000584,1,0
3188430080,9.00293,271800000.0,799,0,0,20250710,000590,1,0
9134629888,4.04331,363895008.0,574,1,0,20250714,000600,1,0
6007360000,5.15479,306545984.0,570,1,0,20250704,000601,1,1
6612420096,1.48068,97908496.0,565,1,0,20250707,000601,1,0
4380919808,6.65117,288127008.0,571,1,1,20250708,000607,1,1
4823430144,5.97157,286320000.0,565,1,1,20250709,000607,1,1
5310199808,7.05115,373646016.0,570,1,0,20250710,000607,1,1
