circ_mv,turnover,amount,first_seal_minutes,is_early_seal,open_times,date,symbol,is_limit_up,label
51011100672.0,6.54782,3229110016.0,811,0,3,20251210,000002,1,0
12514400256.0,5.15174,634710016.0,572,1,6,20250924,000006,1,0
13891399680.0,3.6946,502880000.0,588,1,0,20250930,000006,1,0
16118800384.0,8.40365,1283170048.0,865,0,1,20251010,000006,1,1
17725300736.0,4.33402,756545024.0,573,1,4,20251013,000006,1,0
17846800384.0,7.08841,1207539968.0,660,0,1,20251021,000006,1,0
3765890048.0,4.83283,175964992.0,781,0,0,20251201,000007,1,0
4022259968.0,9.96135,393915008.0,607,0,3,20251215,000007,1,0
8963779584.0,11.4362,1004529984.0,606,0,10,20251111,000008,1,0
8556340224.0,7.47823,625062016.0,640,0,1,20260106,000008,1,0
29160599552.0,3.8154,1073489984.0,674,0,0,20250924,000009,1,0
3451495673.4500003,8.6767578125,282238688.0,879,0,0,20260226,000010,1,0
3748307340.7,16.151065826416016,590454992.0,610,0,5,20260304,000010,1,0
5949170176.0,1.86656,111045000.0,565,1,0,20251023,000011,1,0
5822819840.0,6.94782,385903008.0,805,0,0,20251028,000011,1,0
10149259977.64,5.472925186157227,544342784.0,587,1,0,20260225,000012,1,0
4465750016.0,10.3295,434068992.0,881,0,3,20250919,000014,1,0
5099910144.0,12.9971,618769024.0,840,0,3,20250923,000014,1,0
5404890112.0,7.28059,380584000.0,603,0,1,20251016,000014,1,0
3516930048.0,2.16626,76185800.0,565,1,0,20260209,000014,1,0
8781270016.0,4.05969,344240992.0,875,0,0,20251021,000016,1,0
6466200064.0,6.46435,403824000.0,646,0,0,20260209,000016,1,0
2272389888.0,17.9263,396099008.0,595,1,0,20250909,000017,1,0
3363470080.0,13.3654,439726016.0,597,1,1,20251119,000017,1,1
3698500096.0,11.5782,420902016.0,571,1,1,20251120,000017,1,1
4068790016.0,2.3036,93728496.0,565,1,0,20251121,000017,1,0
3667640064.0,5.22394,185072000.0,593,1,0,20251218,000017,1,0
3175729920.0,13.327,416416992.0,578,1,10,20251023,000019,1,0
2782700032.0,6.68923,182059008.0,606,0,0,20250925,000020,1,1
3061700096.0,8.95754,274252000.0,570,1,0,20250926,000020,1,0
3114230016.0,6.73881,202655008.0,618,0,0,20251208,000020,1,0
39175700480.0,8.72271,3268720128.0,651,0,0,20250924,000021,1,0
43673100288.0,4.56168,1974739968.0,573,1,0,20250930,000021,1,1
48045101056.0,11.2538,5383960064.0,565,1,4,20251009,000021,1,0
50741399552.0,15.4499,7683210240.0,784,0,5,20260213,000021,1,0
7509919744.0,4.72078,350207008.0,572,1,0,20251023,000025,1,0
8232629760.0,6.31607,496304992.0,834,0,0,20251126,000025,1,0
5971539968.0,5.88879,339476000.0,850,0,0,20251231,000026,1,0
35727998976.0,3.7172,1288370048.0,630,0,0,20251023,000027,1,0
19589799936.0,0.960626,183000000.0,596,1,0,20260129,000029,1,0
13930500096.0,1.54229,208100992.0,658,0,2,20260120,000031,1,0
15987900416.0,2.12066,328628000.0,581,1,1,20260129,000031,1,0
12638600192.0,4.3052,531030016.0,650,0,0,20250911,000035,1,0
14178799616.0,3.2301,445345984.0,781,0,0,20251205,000035,1,0
14132599808.0,2.51405,347175008.0,585,1,0,20251211,000035,1,0
16214310493.48,2.9823577404022217,483284416.0,565,1,1,20260227,000035,1,1
17833428517.079998,5.418145179748535,963436192.0,565,1,1,20260302,000035,1,0
7398080000.0,14.599,1058289984.0,639,0,20,20251117,000036,1,0
6641460224.0,4.24307,275420000.0,600,1,0,20251201,000036,1,0
