circ_mv,turnover,amount,first_seal_minutes,is_early_seal,open_times,date,symbol,is_limit_up,label
11792720709.62,26.927356719970703,3014638400,886,0,0,20260114,000078,1,0
7667845060.05,4.066992282867432,310834768,570,1,0,20260114,000409,1,0
13648060305.11,20.24163818359375,2722243968,579,1,20,20260114,000516,1,0
19853120855.26,10.260939598083496,1994337776,688,0,11,20260114,000591,1,0
6241191972.29,20.331432342529297,1239114384,616,0,5,20260114,000593,1,0
23743609483.73,36.22057342529297,8318754816,582,1,3,20260115,000681,1,0
22628080949.59,8.785848617553711,1973908624,575,1,14,20260114,000875,1,0
53940729047.31,24.13983726501465,12848478720,578,1,11,20260114,000981,1,0
9255706065.76,6.992919445037842,621592992,845,0,0,20260115,001212,1,0
2344824920.24,6.667501449584961,153271452,583,1,0,20260114,001228,1,0
3242285280.0,12.96912670135498,414497248,573,1,2,20260114,001255,1,1
3566300640.0,7.214995384216309,248993589,572,1,2,20260115,001255,1,0
833437500.0,40.66048049926758,337010768,574,1,8,20260115,001260,1,0
9992115840.0,7.657992362976074,736313904,608,0,0,20260115,001337,1,0
2064973936.5,11.488919258117676,227192629,601,0,0,20260114,001360,1,0
3783424790.1,8.830499649047852,321050912,646,0,0,20260115,001376,1,0
1807200000.0,33.928165435791016,593503728,611,0,4,20260114,001400,1,0
10254825888.05,9.160895347595217,917301440,783,0,3,20260114,002004,1,0
31574955160.050003,8.257296562194824,2606516992,565,1,1,20260114,002044,1,0
73640808475.08,1.41697895526886,1043474784,565,1,0,20260115,002049,1,0
3386349643.8900003,10.935386657714844,359813280,614,0,0,20260114,002054,1,0
5039789746.5,4.667266368865967,235220418,565,1,0,20260114,002112,1,1
5542982482.5,53.863765716552734,2939843664,570,1,7,20260115,002112,1,0
3282416853.4500003,14.08761501312256,448755904,625,0,3,20260115,002114,1,0
14735510471.88,1.0105503797531128,148909761,565,1,0,20260114,002115,1,0
7453140240.0,13.793758392333984,985314304,804,0,0,20260115,002119,1,0
34083559944.780003,14.351198196411133,4784096512,618,0,0,20260115,002130,1,0
58087757751.06,10.463186264038086,5945084928,570,1,0,20260114,002131,1,0
23468535004.68,1.075885772705078,252494641,565,1,0,20260114,002153,1,1
25820187796.56,4.444701671600342,1146975872,565,1,1,20260115,002153,1,0
13103708090.55,16.23056983947754,2055081136,626,0,1,20260114,002181,1,0
7745149629.0,29.4583797454834,2232406560,671,0,4,20260114,002194,1,0
7537333218.4,12.007770538330078,878891232,612,0,1,20260114,002201,1,0
7087307087.41,5.835363388061523,407286656,574,1,0,20260114,002218,1,1
7797430194.4,4.416906356811523,344355472,570,1,0,20260115,002218,1,0
8998120230.0,2.234086275100708,201025767,565,1,0,20260114,002219,1,0
6349543123.940001,10.295442581176758,637515248,586,1,0,20260114,002235,1,0
7196063081.900001,14.55820655822754,1033028592,571,1,2,20260114,002264,1,1
7916324172.9,25.261680603027344,1895230992,619,0,0,20260115,002264,1,0
60113293926.08,10.83138656616211,6271063040,809,0,9,20260114,002281,1,0
14638093222.35,4.918474197387695,695358128,851,0,0,20260114,002290,1,0
10413643298.16,7.675444602966309,789008944,605,0,12,20260114,002310,1,0
58329540904.6,4.156513214111328,2338264880,807,0,0,20260114,002353,1,0
23838333374.58,24.50847625732422,5583219456,592,1,3,20260114,002400,1,0
7217891212.38,3.496206283569336,248844606,578,1,0,20260114,002427,1,0
43614570293.52,8.198195457458496,3549847136,571,1,19,20260114,002429,1,0
11309349128.64,29.58336067199707,3298020896,579,1,15,20260114,002446,1,1
12436892932.32,34.73947525024414,3944762432,601,0,0,20260115,002446,1,0
65961354841.58,25.9121036529541,17005413888,565,1,12,20260114,002465,1,0
6446697526.96,8.640294075012207,539235792,648,0,0,20260114,002478,1,0
12821281383.06,40.50547790527344,5020549632,620,0,6,20260114,002519,1,0
25846844001.960003,2.058134078979492,519128816,832,0,0,20260115,002545,1,0
6273647311.68,12.487982749938965,770283216,584,1,1,20260115,002546,1,0
5213869752.75,0.9052332639694214,47197684,565,1,0,20260115,002554,1,0
4060320000.0,17.097686767578125,653356608,780,0,0,20260114,002574,1,0
5563336313.009999,16.8170166015625,915852784,780,0,14,20260114,002609,1,0
13066650122.68,6.626421451568604,828094304,863,0,0,20260115,002636,1,0
6816211678.5,14.27323055267334,957707328,576,1,1,20260114,002707,1,1
7501133675.25,3.160991668701172,237110214,565,1,0,20260115,002707,1,0
23062553961.6,16.76235580444336,3804724736,611,0,8,20260114,002716,1,0
3736923818.4,14.04233169555664,511440640,580,1,5,20260114,002718,1,0
2262866620.8,7.1946330070495605,160601874,625,0,0,20260115,002775,1,0
3574756624.5,6.381889820098877,221196773,599,1,0,20260115,002787,1,0
8994474018.5,14.249366760253906,1249220976,823,0,3,20260115,002796,1,0
3949056000.0,6.9876861572265625,265123412,841,0,0,20260115,002836,1,0
5138368594.26,23.01985740661621,1130541632,789,0,0,20260115,002842,1,0
2862471943.8,10.507919311523438,300786144,565,1,0,20260114,002879,1,0
6800063732.4,8.234548568725586,540178448,842,0,1,20260115,002919,1,0
19290706259.02,5.788278579711914,1104018992,572,1,4,20260114,002969,1,0
4296724003.72,35.193939208984375,1481197264,572,1,11,20260114,003007,1,0
7927357034.88,46.40566635131836,3497129808,619,0,2,20260114,300427,1,0
3346867747.1000004,20.854455947875977,669542672,591,1,0,20260115,300452,1,0
14656604587.76,38.37975311279297,5331952128,657,0,11,20260114,300520,1,0
6172171091.750001,14.307772636413574,832340928,606,0,0,20260114,300758,1,1
7406605310.099999,12.457502365112305,920562352,565,1,2,20260115,300758,1,0
23564615892.16,27.636831283569336,6264888832,601,0,7,20260114,300773,1,0
10262623168.65,35.70804977416992,3550796176,583,1,6,20260114,300785,1,0
10477910078.9,24.850954055786133,2416407312,891,0,0,20260114,300792,1,0
2145798000.0,25.59889411926269,520586192,584,1,1,20260114,301001,1,0
4354822335.0,9.048105239868164,384789728,578,1,4,20260114,301043,1,0
6711926453.76,40.99151992797852,2592487344,627,0,8,20260114,301117,1,0
3275795305.25,36.78753662109375,1145903488,642,0,13,20260114,301159,1,0
2421196800.0,36.3663215637207,826338544,671,0,6,20260114,301275,1,0
3398447306.03,11.522923469543455,372202992,598,1,0,20260114,301321,1,0
4697614067.6,37.96342086791992,1599559968,832,0,0,20260115,301348,1,0
