序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,date,symbol,name,board_count,change_pct,circ_mv,turnover,amount,first_seal_time,open_times
1,000026,飞亚达,10.0292,18.87,763652992.0,6883200000,7656770048,11.4786,45535200.0,105648,105648,0,1/1,1,珠宝首饰,20250807,000026,飞亚达,1,10.0292,6883200000,11.4786,763652992.0,105648,0
2,000070,特发信息,10.0257,8.56,1101139968.0,7606369792,7706950144,14.6542,11439900.0,095121,140348,6,1/1,1,通信设备,20250807,000070,特发信息,1,10.0257,7606369792,14.6542,1101139968.0,095121,6
3,000510,新金路,9.91736,5.32,597579008.0,3227460096,3450249984,18.9537,34108600.0,102103,104300,3,1/1,1,化学原料,20250807,000510,新金路,1,9.91736,3227460096,18.9537,597579008.0,102103,3
4,000536,华映科技,10.084,5.24,1286009984.0,14478600192,14494000128,9.21581,105030000.0,104618,104618,0,1/1,1,光学光电,20250807,000536,华映科技,1,10.084,14478600192,9.21581,1286009984.0,104618,0
5,000670,盈方微,10.0391,8.44,1717570048.0,6094580224,7085289984,28.7576,94755400.0,100151,105130,2,1/1,1,半导体,20250807,000670,盈方微,1,10.0391,6094580224,28.7576,1717570048.0,100151,2
6,001298,好上好,9.98632,32.16,1485959936.0,4955369984,9546250240,31.0776,170752000.0,130003,130003,0,1/1,1,电子元件,20250807,001298,好上好,1,9.98632,4955369984,31.0776,1485959936.0,130003,0
7,001380,华纬科技,9.98249,25.12,535084992.0,2210660096,6803859968,24.405,63832700.0,093800,093800,0,2/2,2,通用设备,20250807,001380,华纬科技,2,9.98249,2210660096,24.405,535084992.0,093800,0
8,002017,东信和平,9.98926,30.72,4626880000.0,17820200960,17830899712,27.7208,125412000.0,144336,144336,0,2/3,1,通信设备,20250807,002017,东信和平,1,9.98926,17820200960,27.7208,4626880000.0,144336,0
9,002022,科华生物,9.95851,7.95,508062016.0,4088250112,4088829952,12.6286,18054400.0,093827,141606,3,2/3,1,医疗器械,20250807,002022,科华生物,1,9.95851,4088250112,12.6286,508062016.0,093827,3
10,002046,国机精工,10.0156,28.23,1166230016.0,14885199872,15138799616,7.88079,130999000.0,092500,094715,5,4/4,4,通用设备,20250807,002046,国机精工,4,10.0156,14885199872,7.88079,1166230016.0,092500,5
11,002072,凯瑞德,10.0154,7.14,76776200.0,2244539904,2625240064,3.54163,87208704.0,102154,102154,0,1/1,1,贸易行业,20250807,002072,凯瑞德,1,10.0154,2244539904,3.54163,76776200.0,102154,0
12,002120,韵达股份,9.97506,8.82,1391570048.0,24829399040,25570899968,5.7795,107073000.0,132454,132454,0,1/1,1,物流行业,20250807,002120,韵达股份,1,9.97506,24829399040,5.7795,1391570048.0,132454,0
13,002148,北纬科技,9.96819,10.37,101964000.0,4659420160,5796700160,2.18835,228531008.0,092500,092500,0,4/4,4,通信服务,20250807,002148,北纬科技,4,9.96819,4659420160,2.18835,101964000.0,092500,0
14,002173,创新医疗,10.0126,17.47,2049510016.0,7272840192,7709239808,30.098,131821000.0,145524,145524,0,2/3,1,医疗服务,20250807,002173,创新医疗,1,10.0126,7272840192,30.098,2049510016.0,145524,0
15,002213,大为股份,10.0292,18.87,1303529984.0,3892730112,4478560256,34.2268,21700500.0,111815,143942,7,1/1,1,半导体,20250807,002213,大为股份,1,10.0292,3892730112,34.2268,1303529984.0,111815,7
16,002313,日海智能,10.0324,13.6,1156999936.0,5091789824,5091840000,23.2422,73093200.0,093245,095621,1,3/3,3,通信设备,20250807,002313,日海智能,3,10.0324,5091789824,23.2422,1156999936.0,093245,1
17,002353,杰瑞股份,10.0075,44.3,377663008.0,30710700032,45356802048,1.2305,135087008.0,093000,093403,2,1/1,1,专用设备,20250807,002353,杰瑞股份,1,10.0075,30710700032,1.2305,377663008.0,093000,2
18,002354,天娱数科,10.0443,7.45,2563689984.0,12113200128,12326700032,22.2147,295460992.0,144524,144524,0,1/1,1,互联网服,20250807,002354,天娱数科,1,10.0443,12113200128,22.2147,2563689984.0,144524,0
19,002377,国创高新,10.1307,3.37,182596000.0,2937600000,3088019968,6.27409,68149104.0,093033,093033,0,1/1,1,化学制品,20250807,002377,国创高新,1,10.1307,2937600000,6.27409,182596000.0,093033,0
20,002551,尚荣医疗,9.89583,4.22,140810000.0,2578490112,3567990016,5.58385,57460100.0,094000,094000,0,1/1,1,医疗器械,20250807,002551,尚荣医疗,1,9.89583,2578490112,5.58385,140810000.0,094000,0
21,002611,东方精工,9.97442,17.2,5494309888.0,17237800960,20937299968,32.9528,94425104.0,131436,141924,6,2/2,2,专用设备,20250807,002611,东方精工,2,9.97442,17237800960,32.9528,5494309888.0,131436,6
22,002901,大博医疗,10.0038,57.4,645043008.0,16560600064,23764699136,4.03821,36592500.0,102742,102742,0,2/4,1,医疗器械,20250807,002901,大博医疗,1,10.0038,16560600064,4.03821,645043008.0,102742,0
23,002915,中欣氟材,9.98772,26.87,1659709952.0,7746789888,8745329664,21.5058,122533000.0,092500,102112,10,3/3,3,化学制品,20250807,002915,中欣氟材,3,9.98772,7746789888,21.5058,1659709952.0,092500,10
24,002923,润都股份,9.97877,15.54,301440992.0,4010639872,5204239872,7.68287,89837504.0,093230,093230,0,1/1,1,化学制药,20250807,002923,润都股份,1,9.97877,4010639872,7.68287,301440992.0,093230,0
25,002981,朝阳科技,10.0109,30.33,166291008.0,3622200064,4102230016,4.60356,107667000.0,093000,093000,0,1/1,1,消费电子,20250807,002981,朝阳科技,1,10.0109,3622200064,4.60356,166291008.0,093000,0
26,003010,若羽臣,10.0,53.79,701078016.0,8516239872,11762299904,8.44341,61985700.0,100103,134318,1,1/1,1,互联网服,20250807,003010,若羽臣,1,10.0,8516239872,8.44341,701078016.0,100103,1
27,300224,正海磁材,20.0126,19.01,2879620096.0,15818000384,15925000192,19.5351,56632700.0,134854,144733,1,1/1,1,小金属,20250807,300224,正海磁材,1,20.0126,15818000384,19.5351,2879620096.0,134854,1
28,300289,利德曼,20.0246,9.77,1061020032.0,5306639872,5314990080,21.7081,124895000.0,100021,100021,0,4/6,1,医疗器械,20250807,300289,利德曼,1,20.0246,5306639872,21.7081,1061020032.0,100021,0
29,300322,硕贝德,20.0,26.1,3862279936.0,11515400192,12027199488,35.6292,89038704.0,112351,133100,2,1/1,1,消费电子,20250807,300322,硕贝德,1,20.0,11515400192,35.6292,3862279936.0,112351,2
30,300671,富满微,20.0,40.2,1048920000.0,8728890368,8752520192,12.6058,177747008.0,095254,095254,0,1/1,1,半导体,20250807,300671,富满微,1,20.0,8728890368,12.6058,1048920000.0,095254,0
31,300706,阿石创,19.9899,47.66,1573500032.0,5412969984,7302490112,32.8203,88097600.0,112933,112933,0,1/1,1,半导体,20250807,300706,阿石创,1,19.9899,5412969984,32.8203,1573500032.0,112933,0
32,300981,中红医疗,19.9852,16.21,490900992.0,6371100160,6951900160,8.06463,60133500.0,095621,095621,0,1/1,1,医疗器械,20250807,300981,中红医疗,1,19.9852,6371100160,8.06463,490900992.0,095621,0
33,301117,佳缘科技,19.9888,42.86,1237510016.0,3405220096,5536169984,39.2312,64307100.0,112424,112424,0,2/2,2,软件开发,20250807,301117,佳缘科技,2,19.9888,3405220096,39.2312,1237510016.0,112424,0
34,301129,瑞纳智能,20.0141,34.06,467624992.0,1276930048,4634970112,39.956,88028704.0,111524,111524,0,1/1,1,仪器仪表,20250807,301129,瑞纳智能,1,20.0141,1276930048,39.956,467624992.0,111524,0
35,600203,福日电子,10.007,15.61,2658569984.0,9256540160,9256540160,28.8688,134640000.0,093050,102044,8,4/4,4,消费电子,20250807,600203,福日电子,4,10.007,9256540160,28.8688,2658569984.0,093050,8
36,600366,宁波韵升,10.0251,13.17,2059980032.0,14000300032,14474399744,15.482,161291008.0,130930,130930,0,1/1,1,小金属,20250807,600366,宁波韵升,1,10.0251,14000300032,15.482,2059980032.0,130930,0
37,600410,华胜天成,10.0083,13.19,2312800000.0,14462799872,14462799872,16.5512,224283008.0,094356,100632,1,1/1,1,互联网服,20250807,600410,华胜天成,1,10.0083,14462799872,16.5512,2312800000.0,094356,1
38,600475,华光环能,9.99429,19.26,298641984.0,18160001024,18411900928,1.67552,40280800.0,093225,093346,2,3/3,3,电源设备,20250807,600475,华光环能,3,9.99429,18160001024,1.67552,298641984.0,093225,2
