序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,symbol,name,board_count,change_pct,circ_mv,turnover,amount,first_seal_time,open_times,date
1,000035,中国天楹,9.985734939575195,7.71,277736160,17833428517.079998,18411732641.28,1.5573906898498535,248604324,092500,092500,0,2/2,2,环境治理,000035,中国天楹,2,9.985734939575195,17833428517.079998,1.5573906898498535,277736160,092500,0,20260302
2,000554,泰山石油,10.044642448425293,9.86,293387568,3575760522.4199996,4740622056.32,8.24521255493164,256769544,092500,093430,1,1/1,1,炼化及贸,000554,泰山石油,1,10.044642448425293,3575760522.4199996,8.24521255493164,293387568,092500,1,20260302
3,002109,兴化股份,10.0,4.84,295303408,6177146078.84,6177146103.04,4.791886806488037,82307065,092500,093742,1,1/1,1,化学原料,002109,兴化股份,1,10.0,6177146078.84,4.791886806488037,295303408,092500,1,20260302
4,002207,准油股份,10.008857727050781,12.42,93536510,3239283798.0,3254727794.7599998,2.8875675201416016,191054376,092500,092500,0,1/1,1,油服工程,002207,准油股份,1,10.008857727050781,3239283798.0,2.8875675201416016,93536510,092500,0,20260302
5,002490,山东墨龙,10.0,9.68,278725936,5243868960.0,7723172512.0,5.316316604614258,147466078,092500,093148,1,1/1,1,专用设备,002490,山东墨龙,1,10.0,5243868960.0,5.316316604614258,278725936,092500,1,20260302
6,002980,华盛昌,10.010355949401855,31.87,56840145,3231297515.28,6036214969.2,1.7590501308441162,256382039,092500,092500,0,2/2,2,电网设备,002980,华盛昌,2,10.010355949401855,3231297515.28,1.7590501308441162,56840145,092500,0,20260302
7,300164,通源石油,19.97345733642578,18.08,1423933808,10544450866.24,10639331921.919998,13.537158012390137,217086469,092500,093857,4,1/1,1,油服工程,300164,通源石油,1,19.97345733642578,10544450866.24,13.537158012390137,1423933808,092500,4,20260302
8,301302,华如科技,19.98385238647461,29.72,190962680,4130782800.0,4632307800.0,4.622917652130127,514108656,092500,092500,0,1/1,1,军工电子,301302,华如科技,1,19.98385238647461,4130782800.0,4.622917652130127,190962680,092500,0,20260302
9,600108,亚盛集团,10.075567245483398,4.37,296953984,8508019078.77,8508019074.400001,3.490283489227295,232440492,092502,092502,0,2/2,2,种植业,600108,亚盛集团,2,10.075567245483398,8508019078.77,3.490283489227295,296953984,092502,0,20260302
10,600339,中油工程,9.905660629272461,4.66,1383407600,26017467214.86,26017467443.2,5.392153263092041,145941716,092502,104432,2,1/1,1,油服工程,600339,中油工程,1,9.905660629272461,26017467214.86,5.392153263092041,1383407600,092502,2,20260302
11,600722,金牛化工,10.021322250366211,10.32,189472341,7020899056.320001,7020899097.6,2.69869065284729,581331554,092502,092502,0,1/1,1,化学原料,600722,金牛化工,1,10.021322250366211,7020899056.320001,2.69869065284729,189472341,092502,0,20260302
12,600759,洲际油气,9.98389720916748,6.83,325489088,28301373877.4,28337733382.4,1.1500823497772217,1912320772,092502,092502,0,5/3,1,油气开采,600759,洲际油气,1,9.98389720916748,28301373877.4,1.1500823497772217,325489088,092502,0,20260302
13,600871,石化油服,9.968847274780273,3.53,818416048,47820953599.03,66918371532.799995,1.7149250507354736,171080705,092502,093917,3,1/1,1,油服工程,600871,石化油服,1,9.968847274780273,47820953599.03,1.7149250507354736,818416048,092502,3,20260302
14,603619,中曼石油,10.013755798339844,39.99,1018387360,18488915055.39,18488915175.36,5.518518447875977,110084472,092502,094747,2,1/1,1,油服工程,603619,中曼石油,1,10.013755798339844,18488915055.39,5.518518447875977,1018387360,092502,2,20260302
15,600367,红星发展,9.995328903198242,23.55,590761072,7582468436.1,8033632600.8,7.799263954162598,125881815,092503,093803,2,1/1,1,化学原料,600367,红星发展,1,9.995328903198242,7582468436.1,7.799263954162598,590761072,092503,2,20260302
16,600714,金瑞矿业,10.022271156311035,19.76,72651651,5694363154.4800005,5694363134.72,1.275852084159851,271401564,092503,092503,0,1/1,1,化学原料,600714,金瑞矿业,1,10.022271156311035,5694363154.4800005,1.275852084159851,72651651,092503,0,20260302
17,601808,中海油服,10.017783164978027,18.56,1571602272,54946286080.0,88560746332.15999,2.8871970176696777,148921969,092504,104358,3,1/1,1,油服工程,601808,中海油服,1,10.017783164978027,54946286080.0,2.8871970176696777,1571602272,092504,3,20260302
18,603488,展鹏科技,9.979839324951172,10.91,59441389,3185615700.4,3185615787.68,1.8659309148788452,89884871,092505,092505,0,1/1,1,专用设备,603488,展鹏科技,1,9.979839324951172,3185615700.4,1.8659309148788452,59441389,092505,0,20260302
19,002828,贝肯能源,9.977827072143555,14.88,398604928,2880202188.0,2990695488.0,13.908247947692871,256445937,093000,093818,1,1/1,1,油服工程,002828,贝肯能源,1,9.977827072143555,2880202188.0,13.908247947692871,398604928,093000,1,20260302
20,002843,泰嘉股份,10.011872291564941,27.8,621659056,6972033223.6,6998304223.6,9.111295700073242,274561390,093027,093027,0,6/4,3,通用设备,002843,泰嘉股份,3,10.011872291564941,6972033223.6,9.111295700073242,621659056,093027,0,20260302
21,600452,涪陵电力,10.015060424804688,14.61,1119349376,22448873564.94,22448873477.28,5.025784969329834,125892646,093034,094310,4,2/2,2,电力,600452,涪陵电力,2,10.015060424804688,22448873564.94,5.025784969329834,1119349376,093034,4,20260302
22,000070,特发信息,10.0167875289917,19.66,901724224,17471426230.32,17700778138.88,5.2495317459106445,406005206,093206,093424,1,1/1,1,通信设备,000070,特发信息,1,10.0167875289917,17471426230.32,5.2495317459106445,901724224,093206,1,20260302
23,603318,水发燃气,9.975062370300293,8.82,609721008,4049005549.6800003,4049005584.96,15.51612663269043,176787109,093209,111215,1,2/2,2,燃气Ⅱ,603318,水发燃气,2,9.975062370300293,4049005549.6800003,15.51612663269043,609721008,093209,1,20260302
24,600498,烽火通信,10.009698867797852,56.71,1845856384,72113652769.76,77021678244.48,2.5972251892089844,727729827,093229,093229,0,2/2,2,通信设备,600498,烽火通信,2,10.009698867797852,72113652769.76,2.5972251892089844,1845856384,093229,0,20260302
25,600301,华锡有色,10.006176948547363,71.24,589525120,19614913914.44,45064106705.28,3.040750026702881,87496968,093426,094620,5,4/3,2,小金属,600301,华锡有色,2,10.006176948547363,19614913914.44,3.040750026702881,589525120,093426,5,20260302
26,002413,雷科防务,10.020174980163574,16.36,2790726192,21193242930.92,21584414179.2,13.493721961975098,1032327452,093800,093800,0,1/1,1,军工电子,002413,雷科防务,1,10.020174980163574,21193242930.92,13.493721961975098,2790726192,093800,0,20260302
27,000510,新金路,9.995100975036621,22.45,1424477568,13619625141.65,14559803460.8,10.598278999328613,131483094,094009,102648,7,2/2,2,化学原料,000510,新金路,2,9.995100975036621,13619625141.65,10.598278999328613,1424477568,094009,7,20260302
28,603897,长城科技,9.986945152282715,33.7,603366064,6956882449.700001,6956882449.700001,8.864294052124023,61190539,094051,102115,5,2/2,2,电网设备,603897,长城科技,2,9.986945152282715,6956882449.700001,8.864294052124023,603366064,094051,5,20260302
29,002536,飞龙股份,10.0,34.65,1902104800,18864055980.0,19916331019.2,10.268386840820312,435417617,094254,095248,1,1/1,1,汽车零部,002536,飞龙股份,1,10.0,18864055980.0,10.268386840820312,1902104800,094254,1,20260302
30,301213,观想科技,20.005327224731445,90.1,484137952,4659165514.9,7207999909.9,10.766341209411621,378320709,094315,094315,0,1/1,1,军工电子,301213,观想科技,1,20.005327224731445,4659165514.9,10.766341209411621,484137952,094315,0,20260302
31,000890,法尔胜,10.05221939086914,8.43,985881984,3536309517.7799997,3536418450.24,28.961315155029297,79304382,094327,104542,3,6/5,1,环保设备,000890,法尔胜,1,10.05221939086914,3536309517.7799997,28.961315155029297,985881984,094327,3,20260302
32,301338,凯格精机,19.9986629486084,179.65,1033637824,10626297500.0,19114760000.0,10.13184928894043,191744756,094536,103621,3,1/1,1,专用设备,301338,凯格精机,1,19.9986629486084,10626297500.0,10.13184928894043,1033637824,094536,3,20260302
33,600227,赤天化,10.06944465637207,3.17,455612320,4049991375.5099998,5353266745.599999,11.39250373840332,138742883,094724,094724,0,4/2,1,农化制品,600227,赤天化,1,10.06944465637207,4049991375.5099998,11.39250373840332,455612320,094724,0,20260302
34,000912,泸天化,10.082304000854492,5.35,319203440,8388799999.999999,8388799999.999999,3.9000213146209717,210925162,094818,094818,0,1/1,1,农化制品,000912,泸天化,1,10.082304000854492,8388799999.999999,3.9000213146209717,319203440,094818,0,20260302
35,002667,威领股份,9.985869407653809,23.35,376449408,5524866850.0,6084811525.0,7.062653541564941,187983845,094912,094912,0,1/1,1,专用设备,002667,威领股份,1,9.985869407653809,5524866850.0,7.062653541564941,376449408,094912,0,20260302
36,001267,汇绿生态,10.0,33.55,1635044880,20336644112.399998,26342274745.6,8.238325119018555,196670100,100048,103833,3,1/1,1,基础建设,001267,汇绿生态,1,10.0,20336644112.399998,8.238325119018555,1635044880,100048,3,20260302
37,002356,赫美集团,9.952607154846191,4.64,747443552,6084186177.44,6084221009.919999,12.660449028015137,162723872,100142,100142,0,2/2,2,一般零售,002356,赫美集团,2,9.952607154846191,6084186177.44,12.660449028015137,747443552,100142,0,20260302
38,003009,中天火箭,10.0,75.13,1003248976,11675438884.89,11677701424.84,8.808150291442871,192239112,100212,101415,1,1/1,1,航天装备,003009,中天火箭,1,10.0,11675438884.89,8.808150291442871,1003248976,100212,1,20260302
39,002380,科远智慧,10.00307846069336,35.74,391048688,5066212548.6,8577301535.26,7.970813751220703,288994747,100300,100300,0,1/1,1,IT服务Ⅱ,002380,科远智慧,1,10.00307846069336,5066212548.6,7.970813751220703,391048688,100300,0,20260302
40,001400,江顺科技,9.998351097106934,133.45,260376422,2001749999.9999998,8006999999.999999,13.569486618041992,116402296,100445,100445,0,3/2,1,专用设备,001400,江顺科技,1,9.998351097106934,2001749999.9999998,13.569486618041992,260376422,100445,0,20260302
41,002040,南 京 港,10.01838207244873,11.97,627675088,5818323076.650001,5840725494.240001,11.268488883972168,221171844,101842,103215,2,1/1,1,航运港口,002040,南 京 港,1,10.01838207244873,5818323076.650001,11.268488883972168,627675088,101842,2,20260302
42,000968,蓝焰控股,10.0,9.46,707421712,9152575163.6,9152575125.76,7.853388786315918,123124738,102439,102439,0,1/1,1,油气开采,000968,蓝焰控股,1,10.0,9152575163.6,7.853388786315918,707421712,102439,0,20260302
